probe set	AA1521m99hpp_av06	AA1521n99hpp_av06	AA1521o99hpp_av06	AA1521p99hpp_av06	AA1521q99hpp_av06	AA1521r99hpp_av06	AA1521s99hpp_av06	AA1521t99hpp_av06
AFFX-MurIL2_at	91.854	89.211	88.615	96.753	119.842	108.393	110.11	98.959
AFFX-MurIL10_at	96.359	88.135	87.214	89.57	100.858	97.908	117.817	90.936
AFFX-MurIL4_at	52.973	41.182	46.781	44.408	62.581	58.368	53.721	54.261
AFFX-MurFAS_at	29	25.8	28.581	32.256	33.484	39.338	38.571	27.517
AFFX-BioB-5_at	513.043	526.617	537.912	500.486	450.727	443.308	577.226	481.837
AFFX-BioB-M_at	647.886	675.956	699.919	654.079	581.181	591.236	695.198	573.71
AFFX-BioB-3_at	614.378	629.398	662.296	614.038	543.431	538.692	673.362	548.308
AFFX-BioC-5_at	690.504	631.924	667.341	618.819	635.251	612.194	679.953	709.51
AFFX-BioC-3_at	507.922	478.848	451.106	452.435	467.98	454.55	499.511	518.544
AFFX-BioDn-5_at	252.399	238.178	210.389	216.589	220.879	221.041	216.639	241.292
AFFX-BioDn-3_at	1050.682	1011.665	1056.78	1010.821	1068.074	1091.454	1067.171	1110.124
AFFX-CreX-5_at	247.353	239.934	234.381	225.164	231.615	229.161	229.005	252.872
AFFX-CreX-3_at	365.39	406.639	339.18	388.882	322.762	345.229	379.311	344.343
AFFX-BioB-5_st	260.995	234.781	245.375	228.618	244.338	259.654	247.285	262.239
AFFX-BioB-M_st	194.217	161.975	169.121	151.75	183.158	182.181	157.507	182.973
AFFX-BioB-3_st	144.805	131.031	139.861	136.629	143.155	143.841	143.462	153.082
AFFX-BioC-5_st	350.738	307.286	296.793	257.912	306.599	304.623	268.82	329.361
AFFX-BioC-3_st	116.473	102.71	100.118	92.117	105.208	101.169	102.623	104.183
AFFX-BioDn-5_st	369.44	301.113	314.427	287.652	370.641	380.661	301.832	389.441
AFFX-BioDn-3_st	167.199	135.542	132.18	124.678	137.936	142.452	148.702	149.903
AFFX-CreX-5_st	67.099	67.725	64.266	56.878	59.279	67.175	67.146	69.216
AFFX-CreX-3_st	71.513	66.381	56.688	57.69	67.836	64.004	59.038	68.481
AFFX-hum_alu_at	5889.548	6216.104	5982.752	5715.341	5491.616	5710.417	5589.721	5763.629
AFFX-DapX-5_at	393.465	456.276	411.385	455.854	344.162	365.326	414.09	391.713
AFFX-DapX-M_at	658.93	662.36	615.371	710.717	602.594	620.81	638.496	677.677
AFFX-DapX-3_at	476.761	459.742	382.706	472.443	353.402	373.754	403.452	400.772
AFFX-LysX-5_at	376.152	369.684	279.983	337.143	301.496	297.742	293.996	310.861
AFFX-LysX-M_at	479.919	487.603	432.108	456.563	413.851	438.07	446.004	457.105
AFFX-LysX-3_at	666.852	722.169	701.393	721.511	630.821	650.561	653.947	650.363
AFFX-PheX-5_at	422.481	446.662	389.341	473.723	361.897	362.287	417.476	388.003
AFFX-PheX-M_at	345.826	383.112	309.659	400.806	289.775	309.671	272.643	312.211
AFFX-PheX-3_at	464.925	532.245	440.852	551.098	438.187	453.386	512.807	471.468
AFFX-ThrX-5_at	683.415	811.353	680.216	772.166	583.601	618.63	589.837	607.528
AFFX-ThrX-M_at	472.626	537.459	472.199	530.639	440.272	444.215	450.26	440.482
AFFX-ThrX-3_at	884.024	946.948	913.487	971.893	888.641	853.541	985.383	909.503
AFFX-TrpnX-5_at	385.34	457.376	340.816	448.759	353.455	364.627	376.489	380.565
AFFX-TrpnX-M_at	271.543	296.665	249.297	289.466	259.333	275.395	279.379	276.677
AFFX-TrpnX-3_at	353.401	441.196	386.682	470.691	364.507	382.263	435.411	366.37
AFFX-HUMISGF3A/M97935_5_at	57.359	58.352	57.887	63.856	63.279	64.558	54.28	51.576
AFFX-HUMISGF3A/M97935_MA_at	393.799	366.566	288.49	304.715	350.137	386.299	307.13	411.603
AFFX-HUMISGF3A/M97935_MB_at	52.947	51.641	54.4	51.993	60.649	54.063	49.682	60.707
AFFX-HUMISGF3A/M97935_3_at	73.503	75.349	74.879	79.965	72.578	75.167	72.885	81.267
AFFX-HUMRGE/M10098_5_at	1162.929	1343.313	1264.56	1286.393	1205.128	1257.205	1350.763	1267.643
AFFX-HUMRGE/M10098_M_at	375.613	415.225	400.64	406.139	362.04	348.413	435.282	362.412
