Name	Description	ALL_1	ALL_2	ALL_3	ALL_4	ALL_5	ALL_6	ALL_7	ALL_8	ALL_9	ALL_10	ALL_11	ALL_12	ALL_13	ALL_14	ALL_15	ALL_16	ALL_17	ALL_18	ALL_19	ALL_20	MLL__1	MLL__2	MLL__3	MLL__4	MLL__5	MLL__6	MLL__7	MLL__8	MLL_9	MLL_10	MLL_11	MLL_12	MLL_13	MLL_14	MLL_15	MLL_16	MLL_17	AML_1	AML_2	AML_4	AML_5	AML_6	AML_7	AML_8	AML_10	AML_11	AML_12	AML_14	AML_15	AML_16	AML_17	AML_18	AML_19	AML_20	AML_21	AML_22	AML_23
AFFX-MurIL2_at	AFFX-MurIL2_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-0.499496318	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.555647091	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-MurIL10_at	AFFX-MurIL10_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.752361067	-0.848111043	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-0.371075629	-0.615998566	-0.910647646	-0.970629973	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.323810093	-0.859984288	-0.282262968	-0.896040255	-0.780739491	-1.088917979	-0.797348531	-0.952428029	-0.971348069	-0.359080995	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.523411143	-0.83662019	-0.871908561	0.024350364	-0.821108085	-0.939647838	-0.956245827	-0.994496532	-0.854079501	-0.886994652	-0.483557176	-0.658978688	-0.405308216	-1.016040725	-0.911768906	-0.841055646	-0.984662221	-0.657277482
AFFX-MurIL4_at	AFFX-MurIL4_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.637913705	-0.858347886	-0.696836324	-0.871908561	-0.915905892	-0.821108085	-1.056856783	-0.942491762	-0.994496532	-0.868394122	-0.617079589	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.779560053	-0.841055646	-0.984662221	-1.010273351
AFFX-MurFAS_at	AFFX-MurFAS_at (spiked control)	-0.559941446	-1.005580911	-0.521440012	-0.843015226	-0.184810737	-0.695576052	-0.966971251	-1.013582666	-0.944018262	-0.583884534	-0.602201355	-0.12425484	-0.222138937	-0.61046104	-0.47240562	-0.905110107	-0.915002328	-0.873874339	-0.754379023	-0.005404043	-0.933654547	-0.885563384	-0.780298115	-0.616730373	-0.8335883	-0.859984288	-0.736488057	-0.896040255	-0.811558149	-0.60685382	-0.797348531	-0.46979777	-0.964888902	-0.875028614	-0.968397797	-0.880108563	-0.808076696	0.316458589	-0.029686128	0.205534187	0.023357251	-0.324637486	-0.9226912	-0.336646159	0.01258615	-0.040064927	0.294443723	0.144471681	0.166491909	-0.594808331	-0.025860658	-0.552613837	-1.035429283	-0.251391178	-0.316956506	-0.039905671	-0.540071996
AFFX-hum_alu_at	AFFX-hum_alu_at (miscellaneous control)	1.734542274	1.876745119	2.951463896	2.313927101	2.196894554	2.469152301	2.313886321	2.301053144	2.62489232	2.20353919	1.380387962	2.606891783	2.402681055	2.103281132	2.479923816	2.325223647	2.231700922	2.583359507	2.2206295	2.223549659	1.884560658	1.889594708	1.773829204	2.581088283	2.459218433	2.664490123	2.52958401	2.726166676	3.176386854	1.630469614	3.102207397	2.07368272	2.31740936	2.559112687	2.063269309	1.78943782	1.885513314	2.626520071	2.984186878	2.758352242	3.054457904	2.713219142	2.538160516	2.675886911	2.213313364	2.568754577	2.286239211	2.800270215	2.732809704	2.52898046	2.414445822	2.704415947	2.293538624	2.462533406	2.676755375	2.499315632	2.272868677
AFFX-DapX-5_at	AFFX-DapX-5_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-0.400475342	-0.867813513	-0.966971251	-1.013582666	-0.631310956	-0.809983907	-0.814079742	-0.910647646	-0.56124488	-1.023973506	-0.680363627	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.790327741	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.773828742	-0.896040255	-0.811558149	-0.511618659	-0.797348531	-0.821743197	-0.786226729	-0.888480647	-0.968397797	-1.015224919	-1.092759101	-0.399217434	-0.865556272	-0.63400561	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-0.617323048	-0.763414602	-0.889007957	-0.868394122	-0.51273858	-0.555692166	-0.623702085	-0.921081378	-0.567782831	-0.911768906	-0.841055646	-0.753682581	-1.010273351
AFFX-DapX-M_at	AFFX-DapX-M_at (spiked control)	-0.966654289	-0.688163316	-0.015630801	-0.12182814	-0.528750877	-0.152364962	-0.375159392	-0.680306262	-0.180902829	-0.434615542	-0.297090013	-0.189644882	0.049677576	-0.120213921	-0.61848787	-0.361277172	-0.296697701	-0.222975152	-0.317318487	-0.028840417	-0.533002273	-0.885563384	-0.289999024	-0.411420928	-0.163936946	-0.352155171	0.06942768	-0.050442715	-0.811558149	-0.224068248	-0.288166204	-0.002162937	0.141148409	-0.160548035	0.188312314	0.122099541	-0.120104291	-0.640101539	-0.137846823	0.265402331	0.0787466	-0.318156661	-0.297856176	-0.423798727	0.187561706	-0.146203516	0.171352243	-0.142419874	0.497838164	-0.034445675	0.364288855	-0.006733654	0.180122607	0.176649381	0.116367407	0.218502623	0.028092422
AFFX-DapX-3_at	AFFX-DapX-3_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-LysX-5_at	AFFX-LysX-5_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-0.985968487	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.886055339	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-LysX-M_at	AFFX-LysX-M_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
